************* Module main
main.py:16: [C0303(trailing-whitespace), ] Trailing whitespace
main.py:22: [C0303(trailing-whitespace), ] Trailing whitespace
main.py:23: [C0303(trailing-whitespace), ] Trailing whitespace
main.py:42: [W0311(bad-indentation), ] Bad indentation. Found 1 spaces, expected 4
main.py:43: [W0311(bad-indentation), ] Bad indentation. Found 1 spaces, expected 4
main.py:44: [W0311(bad-indentation), ] Bad indentation. Found 1 spaces, expected 4
main.py:45: [W0311(bad-indentation), ] Bad indentation. Found 1 spaces, expected 4
main.py:46: [W0311(bad-indentation), ] Bad indentation. Found 1 spaces, expected 4
main.py:47: [C0303(trailing-whitespace), ] Trailing whitespace
main.py:49: [W0311(bad-indentation), ] Bad indentation. Found 1 spaces, expected 4
main.py:50: [W0311(bad-indentation), ] Bad indentation. Found 1 spaces, expected 4
main.py:51: [C0303(trailing-whitespace), ] Trailing whitespace
main.py:53: [W0311(bad-indentation), ] Bad indentation. Found 1 spaces, expected 4
main.py:54: [W0311(bad-indentation), ] Bad indentation. Found 1 spaces, expected 4
main.py:55: [C0303(trailing-whitespace), ] Trailing whitespace
main.py:57: [W0311(bad-indentation), ] Bad indentation. Found 1 spaces, expected 4
main.py:58: [W0311(bad-indentation), ] Bad indentation. Found 1 spaces, expected 4
main.py:59: [C0303(trailing-whitespace), ] Trailing whitespace
main.py:61: [W0311(bad-indentation), ] Bad indentation. Found 1 spaces, expected 4
main.py:62: [W0311(bad-indentation), ] Bad indentation. Found 2 spaces, expected 8
main.py:63: [W0311(bad-indentation), ] Bad indentation. Found 2 spaces, expected 8
main.py:65: [W0311(bad-indentation), ] Bad indentation. Found 2 spaces, expected 8
main.py:66: [W0311(bad-indentation), ] Bad indentation. Found 2 spaces, expected 8
main.py:67: [W0311(bad-indentation), ] Bad indentation. Found 2 spaces, expected 8
main.py:68: [W0311(bad-indentation), ] Bad indentation. Found 3 spaces, expected 12
main.py:69: [W0311(bad-indentation), ] Bad indentation. Found 3 spaces, expected 12
main.py:70: [W0311(bad-indentation), ] Bad indentation. Found 3 spaces, expected 12
main.py:71: [W0311(bad-indentation), ] Bad indentation. Found 3 spaces, expected 12
main.py:72: [W0311(bad-indentation), ] Bad indentation. Found 2 spaces, expected 8
main.py:73: [W0311(bad-indentation), ] Bad indentation. Found 3 spaces, expected 12
main.py:74: [W0311(bad-indentation), ] Bad indentation. Found 3 spaces, expected 12
main.py:75: [W0311(bad-indentation), ] Bad indentation. Found 3 spaces, expected 12
main.py:76: [W0311(bad-indentation), ] Bad indentation. Found 2 spaces, expected 8
main.py:77: [W0311(bad-indentation), ] Bad indentation. Found 3 spaces, expected 12
main.py:78: [W0311(bad-indentation), ] Bad indentation. Found 3 spaces, expected 12
main.py:79: [W0311(bad-indentation), ] Bad indentation. Found 3 spaces, expected 12
main.py:80: [W0311(bad-indentation), ] Bad indentation. Found 3 spaces, expected 12
main.py:81: [W0311(bad-indentation), ] Bad indentation. Found 3 spaces, expected 12
main.py:82: [C0303(trailing-whitespace), ] Trailing whitespace
main.py:84: [C0301(line-too-long), ] Line too long (118/100)
main.py:84: [W0311(bad-indentation), ] Bad indentation. Found 1 spaces, expected 4
main.py:85: [W0311(bad-indentation), ] Bad indentation. Found 1 spaces, expected 4
main.py:86: [C0303(trailing-whitespace), ] Trailing whitespace
main.py:87: [W0311(bad-indentation), ] Bad indentation. Found 1 spaces, expected 4
main.py:88: [C0303(trailing-whitespace), ] Trailing whitespace
main.py:90: [C0301(line-too-long), ] Line too long (129/100)
main.py:95: [W0311(bad-indentation), ] Bad indentation. Found 1 spaces, expected 4
main.py:96: [W0311(bad-indentation), ] Bad indentation. Found 1 spaces, expected 4
main.py:97: [W0311(bad-indentation), ] Bad indentation. Found 1 spaces, expected 4
main.py:98: [W0311(bad-indentation), ] Bad indentation. Found 1 spaces, expected 4
main.py:99: [W0311(bad-indentation), ] Bad indentation. Found 1 spaces, expected 4
main.py:100: [C0303(trailing-whitespace), ] Trailing whitespace
main.py:102: [W0311(bad-indentation), ] Bad indentation. Found 1 spaces, expected 4
main.py:103: [W0311(bad-indentation), ] Bad indentation. Found 1 spaces, expected 4
main.py:104: [C0303(trailing-whitespace), ] Trailing whitespace
main.py:106: [W0311(bad-indentation), ] Bad indentation. Found 1 spaces, expected 4
main.py:107: [W0311(bad-indentation), ] Bad indentation. Found 1 spaces, expected 4
main.py:108: [C0303(trailing-whitespace), ] Trailing whitespace
main.py:110: [W0311(bad-indentation), ] Bad indentation. Found 1 spaces, expected 4
main.py:111: [W0311(bad-indentation), ] Bad indentation. Found 1 spaces, expected 4
main.py:112: [C0303(trailing-whitespace), ] Trailing whitespace
main.py:114: [W0311(bad-indentation), ] Bad indentation. Found 1 spaces, expected 4
main.py:115: [W0311(bad-indentation), ] Bad indentation. Found 1 spaces, expected 4
main.py:116: [W0311(bad-indentation), ] Bad indentation. Found 1 spaces, expected 4
main.py:117: [C0303(trailing-whitespace), ] Trailing whitespace
main.py:119: [C0301(line-too-long), ] Line too long (118/100)
main.py:119: [W0311(bad-indentation), ] Bad indentation. Found 1 spaces, expected 4
main.py:120: [W0311(bad-indentation), ] Bad indentation. Found 1 spaces, expected 4
main.py:121: [C0303(trailing-whitespace), ] Trailing whitespace
main.py:123: [W0311(bad-indentation), ] Bad indentation. Found 1 spaces, expected 4
main.py:124: [W0311(bad-indentation), ] Bad indentation. Found 2 spaces, expected 8
main.py:125: [C0303(trailing-whitespace), ] Trailing whitespace
main.py:125: [W0311(bad-indentation), ] Bad indentation. Found 2 spaces, expected 8
main.py:126: [C0303(trailing-whitespace), ] Trailing whitespace
